SampleID,Cancer,Sample Code,Sample Type,EXTEND Scores
TCGA.E7.A7XN.01A.11R.A352.07,BLCA,01,tumor,0.528808487
TCGA.E7.A85H.01A.11R.A352.07,BLCA,01,tumor,0.511312504
TCGA.E7.A8O7.01A.11R.A36F.07,BLCA,01,tumor,0.372754957
TCGA.E7.A8O8.01A.11R.A36F.07,BLCA,01,tumor,0.490757306
TCGA.E7.A97P.01A.11R.A38B.07,BLCA,01,tumor,0.477789429
TCGA.E7.A97Q.01A.11R.A38B.07,BLCA,01,tumor,0.472309983
TCGA.FD.A3B3.01A.12R.A206.07,BLCA,01,tumor,0.586132025
TCGA.FD.A3B4.01A.12R.A206.07,BLCA,01,tumor,0.524633951
TCGA.FD.A3B5.01A.11R.A20F.07,BLCA,01,tumor,0.515031106
TCGA.FD.A3B6.01A.21R.A20F.07,BLCA,01,tumor,0.554113908
TCGA.FD.A3B7.01A.31R.A20F.07,BLCA,01,tumor,0.45678978
TCGA.FD.A3B8.01A.31R.A20F.07,BLCA,01,tumor,0.394191145
TCGA.FD.A3N5.01A.11R.A21D.07,BLCA,01,tumor,0.567872542
TCGA.FD.A3N6.01A.11R.A21D.07,BLCA,01,tumor,0.548056704
TCGA.FD.A3NA.01A.11R.A21D.07,BLCA,01,tumor,0.514237133
TCGA.FD.A3SJ.01A.12R.A22U.07,BLCA,01,tumor,0.590430805
TCGA.FD.A3SL.01A.21R.A22U.07,BLCA,01,tumor,0.447754968
TCGA.FD.A3SM.01A.11R.A22U.07,BLCA,01,tumor,0.446264169
TCGA.FD.A3SN.01A.12R.A22U.07,BLCA,01,tumor,0.660210107
TCGA.FD.A3SO.01A.11R.A22U.07,BLCA,01,tumor,0.6817548
TCGA.FD.A3SP.01A.31R.A22U.07,BLCA,01,tumor,0.407994446
TCGA.FD.A3SQ.01A.21R.A22U.07,BLCA,01,tumor,0.312348686
TCGA.FD.A3SR.01A.11R.A22U.07,BLCA,01,tumor,0.475792746
TCGA.FD.A3SS.01A.12R.A22U.07,BLCA,01,tumor,0.503289633
TCGA.FD.A43N.01A.11R.A23W.07,BLCA,01,tumor,0.489124279
TCGA.FD.A43P.01A.31R.A23W.07,BLCA,01,tumor,0.586447669
TCGA.FD.A43S.01A.21R.A23W.07,BLCA,01,tumor,0.269527482
TCGA.FD.A43U.01A.11R.A23W.07,BLCA,01,tumor,0.416039923
TCGA.FD.A43X.01A.11R.A23W.07,BLCA,01,tumor,0.448095211
TCGA.FD.A43Y.01A.21R.A26T.07,BLCA,01,tumor,0.54213028
TCGA.FD.A5BR.01A.11R.A26T.07,BLCA,01,tumor,0.484891165
TCGA.FD.A5BS.01A.21R.A26T.07,BLCA,01,tumor,0.584061623
TCGA.FD.A5BT.01A.11R.A26T.07,BLCA,01,tumor,0.372113476
TCGA.FD.A5BU.01A.31R.A26T.07,BLCA,01,tumor,0.431806006
TCGA.FD.A5BV.01A.11R.A26T.07,BLCA,01,tumor,0.538638312
TCGA.FD.A5BX.01A.11R.A26T.07,BLCA,01,tumor,0.451467317
TCGA.FD.A5BY.01A.31R.A28M.07,BLCA,01,tumor,0.634201027
TCGA.FD.A5BZ.01A.11R.A28M.07,BLCA,01,tumor,0.367507605
TCGA.FD.A5C0.01A.11R.A28M.07,BLCA,01,tumor,0.534475361
TCGA.FD.A5C1.01A.11R.A28M.07,BLCA,01,tumor,0.434117974
TCGA.FD.A62N.01A.11R.A30C.07,BLCA,01,tumor,0.498520999
TCGA.FD.A62O.01A.11R.A30C.07,BLCA,01,tumor,0.604181656
TCGA.FD.A62P.01A.32R.A30C.07,BLCA,01,tumor,0.537320519
TCGA.FD.A62S.01A.11R.A30C.07,BLCA,01,tumor,0.474840335
TCGA.FD.A6TA.01A.12R.A33J.07,BLCA,01,tumor,0.422919085
TCGA.FD.A6TB.01A.12R.A33J.07,BLCA,01,tumor,0.556040915
TCGA.FD.A6TC.01A.21R.A33J.07,BLCA,01,tumor,0.52982059
TCGA.FD.A6TD.01A.51R.A33J.07,BLCA,01,tumor,0.482476592
TCGA.FD.A6TE.01A.12R.A33J.07,BLCA,01,tumor,0.615703297
TCGA.FD.A6TF.01A.52R.A32O.07,BLCA,01,tumor,0.486401954
TCGA.FD.A6TG.01A.11R.A32O.07,BLCA,01,tumor,0.46050313
TCGA.FD.A6TH.01A.11R.A32O.07,BLCA,01,tumor,0.749408087
TCGA.FD.A6TI.01A.11R.A32O.07,BLCA,01,tumor,0.304297741
TCGA.FD.A6TK.01A.42R.A33J.07,BLCA,01,tumor,0.480921954
TCGA.FJ.A3Z7.01A.12R.A23N.07,BLCA,01,tumor,0.4279968
TCGA.FJ.A3Z9.01A.11R.A26T.07,BLCA,01,tumor,0.587233107
TCGA.FJ.A3ZE.01A.11R.A23N.07,BLCA,01,tumor,0.55458816
TCGA.FJ.A3ZF.01A.11R.A23N.07,BLCA,01,tumor,0.666839679
TCGA.FJ.A871.01A.11R.A352.07,BLCA,01,tumor,0.556876431
TCGA.FT.A3EE.01A.11R.A206.07,BLCA,01,tumor,0.546807128
TCGA.FT.A61P.01A.11R.A30C.07,BLCA,01,tumor,0.451324914
TCGA.G2.A2EC.01A.11R.A180.07,BLCA,01,tumor,0.331989429
TCGA.G2.A2EF.01A.12R.A18C.07,BLCA,01,tumor,0.525863038
TCGA.G2.A2EJ.01A.11R.A180.07,BLCA,01,tumor,0.538005382
TCGA.G2.A2EK.01A.22R.A18C.07,BLCA,01,tumor,0.387743463
TCGA.G2.A2EL.01A.12R.A18C.07,BLCA,01,tumor,0.927684467
TCGA.G2.A2EO.01A.11R.A180.07,BLCA,01,tumor,0.520086563
TCGA.G2.A2ES.01A.11R.A180.07,BLCA,01,tumor,0.599679344
TCGA.G2.A3IB.01A.11R.A20F.07,BLCA,01,tumor,0.643367884
TCGA.G2.A3IE.01A.11R.A20F.07,BLCA,01,tumor,0.452349128
TCGA.G2.A3VY.01A.11R.A22U.07,BLCA,01,tumor,0.45195271
TCGA.G2.AA3B.01A.11R.A39I.07,BLCA,01,tumor,0.679796549
TCGA.G2.AA3C.01A.21R.A39I.07,BLCA,01,tumor,0.595366509
